"place","game","category","subcategory(s)","variable(s)","platformname","regionname","players","time","date","video","comment"
"","Space Hawk","1,000,000 Points","Emulator","Fastest","Intellivision","USA / NTSC","baldnate",3472.0,"2018-03-04","https://www.twitch.tv/videos/235398849","None"
"","Wheel of Fortune: Junior Edition","Any%","","","Nintendo Entertainment System","USA / NTSC","baldnate",325.0,"2019-11-29","https://www.youtube.com/watch?v=6FrNmWW945w","Played on a front-loader with EDN8."
"","Wheel of Fortune: Junior Edition","Any%","","","Nintendo Entertainment System","USA / NTSC","baldnate",312.0,"2019-12-21","https://www.youtube.com/watch?v=vNLQkkBeq4k","Played on a front-loader with EDN8."
"","Wheel of Fortune: Junior Edition","VS. Cpu","","","Nintendo Entertainment System","USA / NTSC","baldnate",312.0,"2019-12-21","https://www.youtube.com/watch?v=vNLQkkBeq4k","Played on a front-loader with EDN8."
"","Wheel of Fortune: Junior Edition","Any%","","","Nintendo Entertainment System","USA / NTSC","baldnate",268.0,"2019-12-29","https://www.youtube.com/watch?v=kU_smamQrcM","Played on a front-loader with EDN8."
"","Wheel of Fortune: Junior Edition","VS. Cpu","","","Nintendo Entertainment System","USA / NTSC","baldnate",268.0,"2019-12-29","https://www.youtube.com/watch?v=kU_smamQrcM","Played on a front-loader with EDN8."
"","Wheel of Fortune: Junior Edition","Any%","","","Nintendo Entertainment System","USA / NTSC","baldnate",225.0,"2020-01-04","https://www.youtube.com/watch?v=0fLbg59fzYM","Played on a front-loader with EDN8."
"","Wheel of Fortune: Junior Edition","Any%","","","Nintendo Entertainment System","USA / NTSC","baldnate",198.0,"2020-01-11","https://www.youtube.com/watch?v=UL09PpqTO5Y","Played on a front-loader with an EDN8. "
"","Wheel of Fortune: Family Edition","Any%","","","Nintendo Entertainment System","USA / NTSC","baldnate",393.0,"2019-12-07","https://www.youtube.com/watch?v=L2Yay0Nj3bQ","Played on a front-loader with EDN8. "
"","Wheel of Fortune: Family Edition","VS. Cpu","","","Nintendo Entertainment System","USA / NTSC","baldnate",245.0,"2019-12-18","https://www.youtube.com/watch?v=p3Kily78gKY","Played on a front-loader with EDN8."
"","Wheel of Fortune: Family Edition","Any%","","","Nintendo Entertainment System","USA / NTSC","baldnate",245.0,"2019-12-18","https://www.youtube.com/watch?v=p3Kily78gKY","Played on a front-loader with EDN8."
"","Wheel of Fortune: Family Edition","Any%","","","Nintendo Entertainment System","USA / NTSC","baldnate",228.0,"2020-01-04","https://www.youtube.com/watch?v=qohiIMhaXzQ","Played on a front-loader with EDN8. "
"","Wheel of Fortune: Family Edition","Any%","","","Nintendo Entertainment System","USA / NTSC","baldnate",215.0,"2020-01-05","https://www.youtube.com/watch?v=4V3Txh2fXW4","Played on a front-loader with EDN8."
"","Wheel of Fortune: Featuring Vanna White","Any%","NES","","Nintendo Entertainment System","USA / NTSC","baldnate",765.0,"2019-12-01","https://www.youtube.com/watch?v=HwVrJ5WlRkc","Played on a front-loader with EDN8."
"","Wheel of Fortune: Featuring Vanna White","Any%","NES","","Nintendo Entertainment System","USA / NTSC","baldnate",271.0,"2019-12-17","https://www.youtube.com/watch?v=LVebl2hIOIo","Played on a front-loader with EDN8. "
"","Wheel of Fortune (GB)","VS. Cpu","","","Super Game Boy 2","USA / NTSC","baldnate",467.0,"2019-12-03","https://www.youtube.com/watch?v=PB169BPjGZA","Played on an SNS-001 with Super Gameboy 2 and EDGB x7. "
"","Wheel of Fortune (GB)","Any%","","","Super Game Boy 2","USA / NTSC","baldnate",467.0,"2019-12-03","https://www.youtube.com/watch?v=PB169BPjGZA","Played on an SNS-001 with Super Gameboy 2 and EDGB x7. "
"","BurgerTime (Intellivision)","1 Loop","","Fastest","Intellivision","USA / NTSC","baldnate",487.0,"2018-05-13","https://www.youtube.com/watch?v=Kve3OJKDwJo","None"
"","Night Stalker","80,000 Points","","Fastest","Intellivision","USA / NTSC","baldnate",822.0,"2018-03-05","https://www.twitch.tv/videos/235732478","None"
"","Night Stalker","80,000 Points","","Fastest","Intellivision","USA / NTSC","baldnate",800.0,"2018-03-10","https://www.twitch.tv/videos/237158810","None"
"","Wheel of Fortune (SNES/Genesis)","Any%","SNES","","Super Nintendo","USA / NTSC","baldnate",342.0,"2019-12-03","https://www.youtube.com/watch?v=A7wxrehNsqU","Played on an SNS-001 with an SD2SNES. "
"","Wheel of Fortune (SNES/Genesis)","Any%","Genesis","","Sega Genesis","USA / NTSC","baldnate",470.0,"2019-12-03","https://www.youtube.com/watch?v=qjXkeMd476Q","Played on a Genesis v2 with a Mega SD."
"","Wheel of Fortune (SNES/Genesis)","Any%","Genesis","","Sega Genesis","USA / NTSC","baldnate",148.0,"2019-12-24","https://www.youtube.com/watch?v=KF2Y4leYmuk","Played on a Genesis v2 with a Mega SD. "
